func,v
E,f,51.8219
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,2.02207
E,f,62.0005
E,f,120.46
E,f,177.402
E,f,232.825
E,f,286.729
E,f,339.115
E,f,389.983
E,f,439.332
E,f,487.163
E,f,533.475
E,f,578.269
E,f,621.544
E,f,663.301
E,f,703.54
E,f,742.26
E,f,779.462
E,f,815.145
E,f,849.31
E,f,881.956
E,f,913.084
E,f,942.694
E,f,970.785
E,f,997.357
E,f,1022.41
E,f,1045.95
E,f,1067.96
E,f,1088.46
E,f,1107.44
E,f,1124.91
E,f,1140.85
E,f,1155.27
E,f,1168.18
E,f,1179.57
E,f,1189.44
E,f,1197.79
E,f,1204.62
E,f,1209.94
E,f,1213.73
E,f,1216.01
E,f,1216.77
E,f,1216.01
E,f,1213.73
E,f,1209.94
E,f,1204.62
E,f,1197.79
E,f,1189.44
E,f,1179.57
E,f,1168.18
E,f,1155.27
E,f,1140.85
E,f,1124.91
E,f,1107.44
E,f,1088.46
E,f,1067.96
E,f,1045.95
E,f,1022.41
E,f,997.357
E,f,970.785
E,f,942.694
E,f,913.084
E,f,881.956
E,f,849.31
E,f,815.145
E,f,779.462
E,f,742.26
E,f,703.54
E,f,663.301
E,f,621.544
E,f,578.269
E,f,533.475
E,f,487.163
E,f,439.332
E,f,389.983
E,f,339.115
E,f,286.729
E,f,232.825
E,f,177.402
E,f,120.46
E,f,62.0005
E,f,2.02207
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,5.00399
E,f,66.5007
E,f,126.479
E,f,184.939
E,f,241.88
E,f,297.303
E,f,351.207
E,f,403.594
E,f,454.461
E,f,503.81
E,f,551.641
E,f,597.953
E,f,642.747
E,f,686.023
E,f,727.78
E,f,768.018
E,f,806.738
E,f,843.94
E,f,879.623
E,f,913.788
E,f,946.435
E,f,977.562
E,f,1007.17
E,f,1035.26
E,f,1061.84
E,f,1086.89
E,f,1110.43
E,f,1132.44
E,f,1152.94
E,f,1171.92
E,f,1189.38
E,f,1205.33
E,f,1219.75
E,f,1232.66
E,f,1244.05
E,f,1253.92
E,f,1262.27
E,f,1269.1
E,f,1274.42
E,f,1278.21
E,f,1280.49
E,f,1281.25
E,f,1280.49
E,f,1278.21
E,f,1274.42
E,f,1269.1
E,f,1262.27
E,f,1253.92
E,f,1244.05
E,f,1232.66
E,f,1219.75
E,f,1205.33
E,f,1189.38
E,f,1171.92
E,f,1152.94
E,f,1132.44
E,f,1110.43
E,f,1086.89
E,f,1061.84
E,f,1035.26
E,f,1007.17
E,f,977.562
E,f,946.435
E,f,913.788
E,f,879.623
E,f,843.94
E,f,806.738
E,f,768.018
E,f,727.78
E,f,686.023
E,f,642.747
E,f,597.953
E,f,551.641
E,f,503.81
E,f,454.461
E,f,403.594
E,f,351.207
E,f,297.303
E,f,241.88
E,f,184.939
E,f,126.479
E,f,66.5007
E,f,5.00399
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,2.30744
E,f,65.3225
E,f,126.819
E,f,186.797
E,f,245.257
E,f,302.199
E,f,357.622
E,f,411.526
E,f,463.912
E,f,514.78
E,f,564.129
E,f,611.96
E,f,658.272
E,f,703.066
E,f,746.341
E,f,788.098
E,f,828.337
E,f,867.057
E,f,904.259
E,f,939.942
E,f,974.107
E,f,1006.75
E,f,1037.88
E,f,1067.49
E,f,1095.58
E,f,1122.15
E,f,1147.21
E,f,1170.74
E,f,1192.76
E,f,1213.26
E,f,1232.24
E,f,1249.7
E,f,1265.65
E,f,1280.07
E,f,1292.98
E,f,1304.37
E,f,1314.24
E,f,1322.59
E,f,1329.42
E,f,1334.74
E,f,1338.53
E,f,1340.81
E,f,1341.57
E,f,1340.81
E,f,1338.53
E,f,1334.74
E,f,1329.42
E,f,1322.59
E,f,1314.24
E,f,1304.37
E,f,1292.98
E,f,1280.07
E,f,1265.65
E,f,1249.7
E,f,1232.24
E,f,1213.26
E,f,1192.76
E,f,1170.74
E,f,1147.21
E,f,1122.15
E,f,1095.58
E,f,1067.49
E,f,1037.88
E,f,1006.75
E,f,974.107
E,f,939.942
E,f,904.259
E,f,867.057
E,f,828.337
E,f,788.098
E,f,746.341
E,f,703.066
E,f,658.272
E,f,611.96
E,f,564.129
E,f,514.78
E,f,463.912
E,f,411.526
E,f,357.622
E,f,302.199
E,f,245.257
E,f,186.797
E,f,126.819
E,f,65.3225
E,f,2.30744
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,58.4662
E,f,121.481
E,f,182.978
E,f,242.956
E,f,301.416
E,f,358.357
E,f,413.78
E,f,467.685
E,f,520.071
E,f,570.938
E,f,620.288
E,f,668.118
E,f,714.431
E,f,759.224
E,f,802.5
E,f,844.257
E,f,884.496
E,f,923.216
E,f,960.417
E,f,996.101
E,f,1030.27
E,f,1062.91
E,f,1094.04
E,f,1123.65
E,f,1151.74
E,f,1178.31
E,f,1203.37
E,f,1226.9
E,f,1248.92
E,f,1269.42
E,f,1288.4
E,f,1305.86
E,f,1321.81
E,f,1336.23
E,f,1349.14
E,f,1360.53
E,f,1370.4
E,f,1378.75
E,f,1385.58
E,f,1390.89
E,f,1394.69
E,f,1396.97
E,f,1397.73
E,f,1396.97
E,f,1394.69
E,f,1390.89
E,f,1385.58
E,f,1378.75
E,f,1370.4
E,f,1360.53
E,f,1349.14
E,f,1336.23
E,f,1321.81
E,f,1305.86
E,f,1288.4
E,f,1269.42
E,f,1248.92
E,f,1226.9
E,f,1203.37
E,f,1178.31
E,f,1151.74
E,f,1123.65
E,f,1094.04
E,f,1062.91
E,f,1030.27
E,f,996.101
E,f,960.417
E,f,923.216
E,f,884.496
E,f,844.257
E,f,802.5
E,f,759.224
E,f,714.431
E,f,668.118
E,f,620.288
E,f,570.938
E,f,520.071
E,f,467.685
E,f,413.78
E,f,358.357
E,f,301.416
E,f,242.956
E,f,182.978
E,f,121.481
E,f,58.4662
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,45.9314
E,f,110.465
E,f,173.48
E,f,234.977
E,f,294.955
E,f,353.415
E,f,410.356
E,f,465.779
E,f,519.684
E,f,572.07
E,f,622.937
E,f,672.286
E,f,720.117
E,f,766.429
E,f,811.223
E,f,854.499
E,f,896.256
E,f,936.494
